Sl. No,DISTRICT,state name,censuscode,RR_2020,LL_2020,UL_2020,RR_2022,LL_2022,UL_2022
1,Kupwara,Jammu & Kashmir,1,1.13,1,1.26,0.78,0.69,0.89
2,Badgam,Jammu & Kashmir,2,1.52,1.36,1.68,1.06,0.95,1.19
3,Leh (ladakh),Jammu & Kashmir,3,0.2,0.09,0.37,0.23,0.12,0.4
4,Kargil,Jammu & Kashmir,4,0.2,0.11,0.33,0.25,0.14,0.39
5,Punch,Jammu & Kashmir,5,0.9,0.75,1.06,0.81,0.68,0.95
6,Rajouri,Jammu & Kashmir,6,1,0.86,1.15,1.4,1.25,1.56
7,Kathua,Jammu & Kashmir,7,0.69,0.58,0.82,0.44,0.36,0.53
8,Baramula,Jammu & Kashmir,8,1.32,1.19,1.45,0.61,0.53,0.69
9,Bandipore,Jammu & Kashmir,9,0.62,0.48,0.76,1.33,1.15,1.54
10,Srinagar,Jammu & Kashmir,10,0.81,0.72,0.91,1.07,0.97,1.17
11,Ganderbal,Jammu & Kashmir,11,1.35,1.12,1.61,1.6,1.37,1.85
12,Pulwama,Jammu & Kashmir,12,0.61,0.5,0.73,1.09,0.95,1.24
13,Shupiyan,Jammu & Kashmir,13,1.87,1.59,2.18,0.87,0.7,1.07
14,Anantnag,Jammu & Kashmir,14,0.79,0.7,0.89,0.61,0.54,0.69
15,Kulgam,Jammu & Kashmir,15,2.08,1.84,2.33,1.3,1.13,1.49
16,Doda,Jammu & Kashmir,16,0.68,0.54,0.83,0.74,0.61,0.89
17,Ramban,Jammu & Kashmir,17,0.77,0.59,0.96,0.66,0.51,0.83
18,Kishtwar,Jammu & Kashmir,18,0.58,0.42,0.76,0.52,0.38,0.69
19,Udhampur,Jammu & Kashmir,19,0.69,0.57,0.82,0.76,0.64,0.89
20,Reasi,Jammu & Kashmir,20,0.58,0.44,0.74,0.79,0.64,0.96
21,Jammu,Jammu & Kashmir,21,0.71,0.63,0.79,0.83,0.76,0.91
22,Samba,Jammu & Kashmir,22,0.64,0.49,0.81,0.43,0.32,0.56
23,Chamba,Himachal Pradesh,23,0.62,0.5,0.75,0.55,0.45,0.66
24,Kangra,Himachal Pradesh,24,0.57,0.5,0.64,0.52,0.46,0.58
25,Lahul & Spiti,Himachal Pradesh,25,0.39,0.18,0.7,0.41,0.2,0.74
26,Kullu,Himachal Pradesh,26,1.01,0.84,1.19,0.73,0.6,0.87
27,Mandi,Himachal Pradesh,27,0.91,0.81,1.02,0.63,0.55,0.71
28,Hamirpur,Himachal Pradesh,28,0.6,0.49,0.73,0.58,0.48,0.71
29,Una,Himachal Pradesh,29,0.62,0.5,0.74,0.63,0.52,0.75
30,Bilaspur,Himachal Pradesh,30,1.04,0.86,1.23,0.69,0.57,0.84
31,Solan,Himachal Pradesh,31,0.95,0.81,1.1,0.91,0.78,1.05
32,Sirmaur,Himachal Pradesh,32,0.85,0.72,1,0.88,0.76,1.02
33,Shimla,Himachal Pradesh,33,1.01,0.88,1.14,0.54,0.46,0.63
34,Kinnaur,Himachal Pradesh,34,0.85,0.54,1.23,1.17,0.83,1.61
35,Gurdaspur,Punjab,35,0.54,0.49,0.6,0.52,0.47,0.57
36,Kapurthala,Punjab,36,0.7,0.6,0.8,0.59,0.51,0.68
37,Jalandhar,Punjab,37,0.58,0.53,0.64,0.67,0.61,0.73
38,Hoshiarpur,Punjab,38,0.5,0.44,0.57,0.5,0.45,0.56
39,Shahid Bhagat Singh Nagar,Punjab,39,0.66,0.55,0.78,0.48,0.4,0.58
